id,sourceid,targetid,relation,prefixrelation
344,N1692042601,T14,isRelatedTo,edm:isRelatedTo
345,N1692042602,T14,isRelatedTo,edm:isRelatedTo
346,N1692042700,T14,isRelatedTo,edm:isRelatedTo
347,N1692042801,T55,isRelatedTo,edm:isRelatedTo
348,N1692042802,T14,isRelatedTo,edm:isRelatedTo
349,N1692042803,T05,isRelatedTo,edm:isRelatedTo
350,N1692042901,T05,isRelatedTo,edm:isRelatedTo
351,N1692042902,T14,isRelatedTo,edm:isRelatedTo
352,N1692042903,T42,isRelatedTo,edm:isRelatedTo
353,N1692042904,T05,isRelatedTo,edm:isRelatedTo
354,N1692043001,T14,isRelatedTo,edm:isRelatedTo
355,N1692043002,T36,isRelatedTo,edm:isRelatedTo
356,N1692043003,T25,isRelatedTo,edm:isRelatedTo
357,N1692050101,T05,isRelatedTo,edm:isRelatedTo
358,N1692050102,T14,isRelatedTo,edm:isRelatedTo
359,N1692050201,T05,isRelatedTo,edm:isRelatedTo
360,N1692050202,T14,isRelatedTo,edm:isRelatedTo
361,N1692050301,T05,isRelatedTo,edm:isRelatedTo
362,N1692050302,T14,isRelatedTo,edm:isRelatedTo
363,N1692050302,T63,isRelatedTo,edm:isRelatedTo
364,N1692050303,T11,isRelatedTo,edm:isRelatedTo
365,N1692050303,T57,isRelatedTo,edm:isRelatedTo
366,N1692050304,T25,isRelatedTo,edm:isRelatedTo
367,N1692050401,T25,isRelatedTo,edm:isRelatedTo
368,N1692050401,T55,isRelatedTo,edm:isRelatedTo
369,N1692050402,T25,isRelatedTo,edm:isRelatedTo
370,N1692050402,T44,isRelatedTo,edm:isRelatedTo
371,N1692050403,T48,isRelatedTo,edm:isRelatedTo
372,N1692050501,T55,isRelatedTo,edm:isRelatedTo
373,N1692050502,T25,isRelatedTo,edm:isRelatedTo
374,N1692050502,T48,isRelatedTo,edm:isRelatedTo
375,N1692050700,T38,isRelatedTo,edm:isRelatedTo
376,N1692050801,T14,isRelatedTo,edm:isRelatedTo
377,N1692050802,T33,isRelatedTo,edm:isRelatedTo
378,N1692050803,T33,isRelatedTo,edm:isRelatedTo
379,N1692050804,T38,isRelatedTo,edm:isRelatedTo
380,N1692050804,T25,isRelatedTo,edm:isRelatedTo
381,N1692050804,T34,isRelatedTo,edm:isRelatedTo
382,N1692050900,T34,isRelatedTo,edm:isRelatedTo
383,N1692051001,T34,isRelatedTo,edm:isRelatedTo
384,N1692051002,T11,isRelatedTo,edm:isRelatedTo
385,N1692051003,T42,isRelatedTo,edm:isRelatedTo
386,N1692051101,T53,isRelatedTo,edm:isRelatedTo
387,N1692051101,T38,isRelatedTo,edm:isRelatedTo
388,N1692051101,T33,isRelatedTo,edm:isRelatedTo
389,N1692051102,T14,isRelatedTo,edm:isRelatedTo
390,N1692051103,T25,isRelatedTo,edm:isRelatedTo
391,N1692051103,T68,isRelatedTo,edm:isRelatedTo
392,N1692051103,T34,isRelatedTo,edm:isRelatedTo
393,N1692051201,T68,isRelatedTo,edm:isRelatedTo
394,N1692051201,T25,isRelatedTo,edm:isRelatedTo
395,N1692051201,T11,isRelatedTo,edm:isRelatedTo
396,N1692051202,T01,isRelatedTo,edm:isRelatedTo
397,N1692051202,T05,isRelatedTo,edm:isRelatedTo
398,N1692051301,T55,isRelatedTo,edm:isRelatedTo
399,N1692051302,T14,isRelatedTo,edm:isRelatedTo
400,N1692051303,T14,isRelatedTo,edm:isRelatedTo
401,N1692051304,T14,isRelatedTo,edm:isRelatedTo
402,N1692051305,T01,isRelatedTo,edm:isRelatedTo
403,N1692051305,T05,isRelatedTo,edm:isRelatedTo
404,N1692051602,T14,isRelatedTo,edm:isRelatedTo
405,N1692051602,T50,isRelatedTo,edm:isRelatedTo
406,N1692051603,T14,isRelatedTo,edm:isRelatedTo
407,N1692051603,T50,isRelatedTo,edm:isRelatedTo
408,N1692051701,T10,isRelatedTo,edm:isRelatedTo
409,N1692051702,T14,isRelatedTo,edm:isRelatedTo
410,N1692051703,T49,isRelatedTo,edm:isRelatedTo
411,N1692051704,T36,isRelatedTo,edm:isRelatedTo
412,N1692051705,T38,isRelatedTo,edm:isRelatedTo
413,N1692051705,T01,isRelatedTo,edm:isRelatedTo
414,N1692051705,T35,isRelatedTo,edm:isRelatedTo
415,N1692051706,T35,isRelatedTo,edm:isRelatedTo
416,N1692051706,T06,isRelatedTo,edm:isRelatedTo
417,N1692051707,T35,isRelatedTo,edm:isRelatedTo
418,N1692051707,T01,isRelatedTo,edm:isRelatedTo
419,N1692051801,T01,isRelatedTo,edm:isRelatedTo
420,N1692051801,T05,isRelatedTo,edm:isRelatedTo
421,N1692051802,T01,isRelatedTo,edm:isRelatedTo
422,N1692051802,T05,isRelatedTo,edm:isRelatedTo
423,N1692051901,T49,isRelatedTo,edm:isRelatedTo
424,N1692051902,T38,isRelatedTo,edm:isRelatedTo
425,N1692051903,T14,isRelatedTo,edm:isRelatedTo
426,N1692052001,T49,isRelatedTo,edm:isRelatedTo
427,N1692052002,T14,isRelatedTo,edm:isRelatedTo
428,N1692052101,T16,isRelatedTo,edm:isRelatedTo
429,N1692052102,T01,isRelatedTo,edm:isRelatedTo
430,N1692052102,T05,isRelatedTo,edm:isRelatedTo
431,N1692052201,T49,isRelatedTo,edm:isRelatedTo
432,N1692052202,T14,isRelatedTo,edm:isRelatedTo
433,N1692052301,T14,isRelatedTo,edm:isRelatedTo
434,N1692052302,T14,isRelatedTo,edm:isRelatedTo
435,N1692052303,T14,isRelatedTo,edm:isRelatedTo
436,N1692052304,T58,isRelatedTo,edm:isRelatedTo
437,N1692052500,T01,isRelatedTo,edm:isRelatedTo
438,N1692052600,T14,isRelatedTo,edm:isRelatedTo
439,N1692052700,T38,isRelatedTo,edm:isRelatedTo
440,N1692052700,T33,isRelatedTo,edm:isRelatedTo
441,N1692052801,T05,isRelatedTo,edm:isRelatedTo
442,N1692052802,T14,isRelatedTo,edm:isRelatedTo
443,N1692052803,T14,isRelatedTo,edm:isRelatedTo
444,N1692052804,T14,isRelatedTo,edm:isRelatedTo
445,N1692052805,T14,isRelatedTo,edm:isRelatedTo
446,N1692052805,T20,isRelatedTo,edm:isRelatedTo
447,N1692052806,T38,isRelatedTo,edm:isRelatedTo
448,N1692052806,T01,isRelatedTo,edm:isRelatedTo
449,N1692052901,T14,isRelatedTo,edm:isRelatedTo
450,N1692060100,T05,isRelatedTo,edm:isRelatedTo
451,N1692060201,T14,isRelatedTo,edm:isRelatedTo
452,N1692060202,T60,isRelatedTo,edm:isRelatedTo
453,N1692060301,T14,isRelatedTo,edm:isRelatedTo
454,N1692060302,T14,isRelatedTo,edm:isRelatedTo
455,N1692060303,T14,isRelatedTo,edm:isRelatedTo
456,N1692060401,T60,isRelatedTo,edm:isRelatedTo
457,N1692060402,T14,isRelatedTo,edm:isRelatedTo
458,N1692060403,T22,isRelatedTo,edm:isRelatedTo
459,N1692060501,T14,isRelatedTo,edm:isRelatedTo
460,N1692060502,T22,isRelatedTo,edm:isRelatedTo
461,N1692060503,T14,isRelatedTo,edm:isRelatedTo
462,N1692060504,T14,isRelatedTo,edm:isRelatedTo
463,N1692060504,T50,isRelatedTo,edm:isRelatedTo
