id,sourceid,targetid,relation,prefixrelation
414,N1699012403,P0098,mentions,ekc:mentions
415,N1692062601,P0099,mentions,ekc:mentions
416,N1695030601,P0099,mentions,ekc:mentions
417,N1695100704,P0100,mentions,ekc:mentions
418,N1692110603,P0101,mentions,ekc:mentions
419,N1692111701,P0101,mentions,ekc:mentions
420,N1692112603,P0101,mentions,ekc:mentions
421,N1692120607,P0101,mentions,ekc:mentions
422,N1692121801,P0101,mentions,ekc:mentions
423,N1692122705,P0101,mentions,ekc:mentions
424,N1693010403,P0101,mentions,ekc:mentions
425,N1693011403,P0101,mentions,ekc:mentions
426,N1693021304,P0101,mentions,ekc:mentions
427,N1693021601,P0101,mentions,ekc:mentions
428,N1693063000,P0101,mentions,ekc:mentions
429,N1693072301,P0101,mentions,ekc:mentions
430,N1693111701,P0101,mentions,ekc:mentions
431,N1693113001,P0101,mentions,ekc:mentions
432,N1693121904,P0101,mentions,ekc:mentions
433,N1694022003,P0101,mentions,ekc:mentions
434,N1694060103,P0101,mentions,ekc:mentions
435,N1694060200,P0101,mentions,ekc:mentions
436,N1695010201,P0101,mentions,ekc:mentions
437,N1695082903,P0102,mentions,ekc:mentions
438,N1696051701,P0103,mentions,ekc:mentions
439,N1698011102,P0103,mentions,ekc:mentions
440,N1698030201,P0103,mentions,ekc:mentions
441,N1695020704,P0104,mentions,ekc:mentions
442,N1695020801,P0104,mentions,ekc:mentions
443,N1698022202,P0105,mentions,ekc:mentions
444,N1692060801,P0106,mentions,ekc:mentions
445,N1695011306,P0108,mentions,ekc:mentions
446,N1695081502,P0108,mentions,ekc:mentions
447,N1696011802,P0108,mentions,ekc:mentions
448,N1696030202,P0108,mentions,ekc:mentions
449,N1697010203,P0108,mentions,ekc:mentions
450,N1697031501L,P0108,mentions,ekc:mentions
451,N1697041901,P0108,mentions,ekc:mentions
452,N1698041402,P0108,mentions,ekc:mentions
453,N1697032101,P0109,mentions,ekc:mentions
454,N1695082804,P0110,mentions,ekc:mentions
455,N1698030704,P0111,mentions,ekc:mentions
456,N1693013005,P0112,mentions,ekc:mentions
457,N1693100606,P0113,mentions,ekc:mentions
458,N1693102506,P0113,mentions,ekc:mentions
459,N1693102905,P0113,mentions,ekc:mentions
460,N1695051203,P0113,mentions,ekc:mentions
461,N1695052906,P0113,mentions,ekc:mentions
462,N1696050604,P0113,mentions,ekc:mentions
463,N1698110601,P0113,mentions,ekc:mentions
464,N1699070903L,P0113,mentions,ekc:mentions
465,N1692051707,P0114,mentions,ekc:mentions
466,N1692060802,P0114,mentions,ekc:mentions
467,N1693011901,P0114,mentions,ekc:mentions
468,N1693040802,P0114,mentions,ekc:mentions
469,N1693051601,P0114,mentions,ekc:mentions
470,N1693061603,P0114,mentions,ekc:mentions
471,N1693071104,P0114,mentions,ekc:mentions
472,N1693072404,P0114,mentions,ekc:mentions
473,N1693072701,P0114,mentions,ekc:mentions
474,N1693082702,P0114,mentions,ekc:mentions
475,N1693090401,P0114,mentions,ekc:mentions
476,N1693100701,P0114,mentions,ekc:mentions
477,N1693102505,P0114,mentions,ekc:mentions
478,N1694022304,P0114,mentions,ekc:mentions
479,N1695032505,P0114,mentions,ekc:mentions
480,N1695052906,P0114,mentions,ekc:mentions
481,N1695071002,P0114,mentions,ekc:mentions
482,N1695081601,P0114,mentions,ekc:mentions
483,N1695090703,P0114,mentions,ekc:mentions
484,N1695122805,P0114,mentions,ekc:mentions
485,N1695122903,P0114,mentions,ekc:mentions
486,N1696020701,P0114,mentions,ekc:mentions
487,N1696021101,P0114,mentions,ekc:mentions
488,N1696021404,P0114,mentions,ekc:mentions
489,N1696042503,P0114,mentions,ekc:mentions
490,N1696042504,P0114,mentions,ekc:mentions
491,N1696042606,P0114,mentions,ekc:mentions
492,N1696042804,P0114,mentions,ekc:mentions
493,N1696052704,P0114,mentions,ekc:mentions
494,N1696061302,P0114,mentions,ekc:mentions
495,N1696120303,P0114,mentions,ekc:mentions
496,N1697020302,P0114,mentions,ekc:mentions
497,N1697030910L,P0114,mentions,ekc:mentions
498,N1697052204,P0114,mentions,ekc:mentions
499,N1698032103,P0114,mentions,ekc:mentions
500,N1699012403,P0114,mentions,ekc:mentions
501,N1699012702,P0114,mentions,ekc:mentions
502,N1699070503,P0114,mentions,ekc:mentions
503,N1693100606,P0115,mentions,ekc:mentions
504,N1696050502,P0115,mentions,ekc:mentions
505,N1696050503,P0115,mentions,ekc:mentions
506,N1696051502,P0115,mentions,ekc:mentions
507,N1693100606,P0116,mentions,ekc:mentions
508,N1697101304,P0117,mentions,ekc:mentions
509,N1693102701,P0118,mentions,ekc:mentions
510,N1693091604,P0119,mentions,ekc:mentions
511,N1695061301,P0120,mentions,ekc:mentions
512,N1696050101,P0121,mentions,ekc:mentions
513,N1696062001,P0121,mentions,ekc:mentions
514,N1693062500,P0122,mentions,ekc:mentions
515,N1694061002,P0122,mentions,ekc:mentions
516,N1694061502,P0122,mentions,ekc:mentions
517,N1694062601,P0122,mentions,ekc:mentions
518,N1694062701,P0122,mentions,ekc:mentions
519,N1694062702,P0122,mentions,ekc:mentions
520,N1694081101,P0122,mentions,ekc:mentions
521,N1694082200,P0122,mentions,ekc:mentions
522,N1695041306,P0122,mentions,ekc:mentions
523,N1696101403,P0122,mentions,ekc:mentions
524,N1697052003,P0122,mentions,ekc:mentions
525,N1697061202,P0122,mentions,ekc:mentions
526,N1697061203,P0122,mentions,ekc:mentions
527,N1697070601,P0122,mentions,ekc:mentions
528,N1697090104,P0122,mentions,ekc:mentions
529,N1697100703,P0122,mentions,ekc:mentions
530,N1698030801,P0122,mentions,ekc:mentions
531,N1698042300,P0122,mentions,ekc:mentions
532,N1698042702,P0122,mentions,ekc:mentions
533,N1698042803,P0122,mentions,ekc:mentions
534,N1698061002,P0122,mentions,ekc:mentions
535,N1698071401,P0122,mentions,ekc:mentions
536,N1698071906,P0122,mentions,ekc:mentions
537,N1698081102,P0122,mentions,ekc:mentions
538,N1698091301,P0122,mentions,ekc:mentions
539,N1698091606,P0122,mentions,ekc:mentions
540,N1698100402,P0122,mentions,ekc:mentions
541,N1698101102,P0122,mentions,ekc:mentions
542,N1698112102,P0122,mentions,ekc:mentions
543,N1699020902,P0122,mentions,ekc:mentions
544,N1699021803,P0122,mentions,ekc:mentions
545,N1699021902,P0122,mentions,ekc:mentions
546,N1699022101,P0122,mentions,ekc:mentions
547,N1699022102,P0122,mentions,ekc:mentions
548,N1699041303,P0122,mentions,ekc:mentions
549,N1699050503,P0122,mentions,ekc:mentions
550,N1699062300,P0122,mentions,ekc:mentions
551,N1699071901,P0122,mentions,ekc:mentions
552,N1699071104L,P0122,mentions,ekc:mentions
553,N1699080903,P0122,mentions,ekc:mentions
554,N1699081602,P0122,mentions,ekc:mentions
555,N1695100704,P0123,mentions,ekc:mentions
556,N1699080205,P0124,mentions,ekc:mentions
557,N1699080401,P0124,mentions,ekc:mentions
558,N1693032705,P0125,mentions,ekc:mentions
559,N1695062204,P0125,mentions,ekc:mentions
560,N1697101002,P0125,mentions,ekc:mentions
561,N1697111101,P0125,mentions,ekc:mentions
562,N1699051903,P0125,mentions,ekc:mentions
563,N1693022601,P0126,mentions,ekc:mentions
564,N1694011901,P0126,mentions,ekc:mentions
565,N1694082105,P0126,mentions,ekc:mentions
566,N1695071601,P0126,mentions,ekc:mentions
567,N1696031103,P0126,mentions,ekc:mentions
568,N1696100100,P0126,mentions,ekc:mentions
569,N1696100301,P0126,mentions,ekc:mentions
570,N1697040901,P0126,mentions,ekc:mentions
571,N1697042501,P0126,mentions,ekc:mentions
572,N1697051802,P0126,mentions,ekc:mentions
573,N1697031404L,P0127,mentions,ekc:mentions
574,N1697061903,P0127,mentions,ekc:mentions
575,N1696050404,P0128,mentions,ekc:mentions
576,N1697122404,P0129,mentions,ekc:mentions
577,N1693120105,P0130,mentions,ekc:mentions
578,N1694010403,P0130,mentions,ekc:mentions
